ITEM_ID,GENRES,CREATION_TIMESTAMP
6e0e010dee526f9d7aab46b2e4682a9f,"Outdoors,Food,Meat,Bread,Pancake,Cooking,Person,Adult,Male",1705566242
b8b3ce3b74093f68faa156731b941a10,"Person,Body Part,Head,Adult,Male,Face,Food,Weapon,Blade,Cooking,Female,Wedding,Woman,Cookware,Performer,Clothing,Outdoors",1705566353
3eefb39a416b942cc89fba599fdb2f5c,"Nature,Outdoors,Land,Plant,Tree,Vegetation,Path,Person,Adult,Male,Female,Woodland,Wedding,Woman,Architecture,Building,Housing,House",1705566426
9c548e70860e94fcaf54d2758c0ba29a,"Plant,Field,Nature,Outdoors,Person,Adult,Male,Countryside",1705566475
26cbcb970c9963d063f7d587fe7ff5a9,"Outdoors,Nature,Water,Person,Adult,Female,Land,Plant,Tree,Vegetation,Woodland,Art,Pool,Architecture,Building,Male",1705566568
1931bf56b1abc1a9f601b8ba5957fb70,"Outdoors,Nature,Water,Plant",1705566617
076bb9628c8bd416f481a363d10b84a0,"Outdoors,Nature,Sky,Plant,Road,Person,Adult,Male,Architecture,Building,Urban,Housing,House",1705566699
fc51ec638fad4a4f2346b2b8c3fb9a1c,"Architecture,Nature,Outdoors,Building,Plant,Vegetation,Hotel",1705566757
cea477054ab26d3e85468347d2b339da,"Architecture,Nature,Outdoors,Building,Plant,Vegetation,Hotel",1705566986
663dfd0f6bb929532c0649e32a73df1a,"Person,Head,Adult,Male,Female,Food,Cooking",1705567055
e89ef1a169442cd3fd97768f8b7eca85,"Person,Head,Adult,Male,Female,Food,Cooking",1705567146
26568621ecebca2a253a7010f528abf5,"Cookware,Food,Pot,Meat,Person,Cutlery",1705567229
41043c99690411d492b458f7c58de15e,"Person,Festival,Head,Female,Christmas,Male,Adult",1705567298
c5a8744185a281978d31c1575232614c,"Person,Leisure Activities,Head,Female,Adult,Face,Happy,Dessert,Food,Cream,Clothing,Male,Body Part,Hand",1705567360
93eca6b49eb656f26536572e588be8ff,"Body Part,Person,Hand,Transportation,Adult,Male,Vehicle,Outdoors,Electronics,Phone,Car,Sports Car,Coupe,Accessories",1705567446
8314b8d54265ee994dfb3a19e52d8b6c,"Person,Adult,Male,Female,Transportation,Vehicle,Head,Car",1705567501
70ca3b97f22088ee6bc4bc22e734ab79,"Person,Transportation,Vehicle,Adult,Male,Head,Car,Face,Performer,Clothing,Happy,Footwear,Shoe,Indoors,Electrical Device,Body Part,Hand,Electronics,Phone,Sports Car,Machine,Accessories",1705567579
79d00fee3b1572fc49818ce2f9ac859f,"Person,Transportation,Vehicle,Head,Adult,Male,Female,Bus",1705567669
086b999c965e7d784a7cc7dee3187406,"Person,Transportation,Vehicle,Head,Adult,Male,Female,Bus",1705567753
60d966598e7adf8879a741ab986386bb,"Animal,Mammal,Pet,Person,Head,Face,Indoors",1705567826
17f6ecc4d6505aa071d1e310e8c195e7,"Person,Animal,Adult,Male,Bird,Parrot,Female,Plant,Wedding,Woman",1705568325
23070d03a2b374b078414bf73666a4df,"Person,Animal,Adult,Male,Bird,Parrot,Female,Plant,Wedding,Woman",1705568418
4b40d87c36793bbf370868135e1a9907,"Animal,Mammal,Canine,Pet,Dog,Indoors,Male,Person,Adult",1705568514
c2a9bb601fd2f559f67db470202fdd1a,"Animal,Mammal,Canine,Pet,Indoors,Plant,Person,Adult,Male,Weapon,Food,Dog,Dessert,Cream,Clothing,Vest,Female",1705568576
be5a7b7ca77f8e0de9fe5a12479ef45d,"Person,Animal,Mammal,Canine,Pet,Head,Clothing,Dog,Adult,Male,Hat,Female,Face,Food,Indoors",1705568668
