USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
263a4644ea5b873ba35b14c502c7010b,58d5743b213dcef8a3d931217ac1c687,watched,1705104074
6815c1020771effac81e5295cf9c0553,0dde45f98279700aa649783b45c391c0,clicked,1705104123
af9684fd5ed1d0efaf6074aafd159881,3f44d737119484cb06dc8074cfd6ba99,watched,1705104155
6815c1020771effac81e5295cf9c0553,58d5743b213dcef8a3d931217ac1c687,watched,1705104174
a2288579b87050b04d5e0188a96a54fb,79d00fee3b1572fc49818ce2f9ac859f,watched,1705104194
84c058a0c64f2dedc931cf9c9cff6c03,4b40d87c36793bbf370868135e1a9907,watched,1705104225
3adcf32f5562d8568d613b325044405c,0dde45f98279700aa649783b45c391c0,watched,1705104242
53ffd4c31493227741ddc006ddb26510,0dde45f98279700aa649783b45c391c0,watched,1705104269
21131740dc09d6a532fd9d23288e79d4,0dde45f98279700aa649783b45c391c0,watched,1705104276
84c058a0c64f2dedc931cf9c9cff6c03,6e0e010dee526f9d7aab46b2e4682a9f,watched,1705104310
d3118133336540047cc07627c40215fe,0efb5672a1c7e9e0683f31a97eec0bc8,watched,1705104318
e1a084de42e9f2aaa47eb5afc7ce39be,26cbcb970c9963d063f7d587fe7ff5a9,clicked,1705104328
53ffd4c31493227741ddc006ddb26510,7cbe8001605e39226a03bd7e715e0f5b,clicked,1705104358
22e7ff9d170ec82d8209abe6379a7d80,663dfd0f6bb929532c0649e32a73df1a,watched,1705104392
5107502f985aa0b73854b067bc41f4b3,3f44d737119484cb06dc8074cfd6ba99,watched,1705104460
a2288579b87050b04d5e0188a96a54fb,fc51ec638fad4a4f2346b2b8c3fb9a1c,clicked,1705104473
d3118133336540047cc07627c40215fe,db85c0fbb319209616e48467f5add57a,watched,1705104633
16f88ca54189cd79ecb8cb1c43c36dd4,23070d03a2b374b078414bf73666a4df,clicked,1705104719
d79312620e8bf2467f1aca069523c99e,c2a9bb601fd2f559f67db470202fdd1a,watched,1705104740
0da8a6ed49ec9c9c9829956978c70ff0,1931bf56b1abc1a9f601b8ba5957fb70,clicked,1705104747
21131740dc09d6a532fd9d23288e79d4,c5a8744185a281978d31c1575232614c,clicked,1705104748
012cfab8bb38662681f4fa3537106df6,086b999c965e7d784a7cc7dee3187406,watched,1705104797
5107502f985aa0b73854b067bc41f4b3,58d5743b213dcef8a3d931217ac1c687,watched,1705104902
22e7ff9d170ec82d8209abe6379a7d80,cea477054ab26d3e85468347d2b339da,watched,1705104906
af9684fd5ed1d0efaf6074aafd159881,db85c0fbb319209616e48467f5add57a,watched,1705104907
16f88ca54189cd79ecb8cb1c43c36dd4,26568621ecebca2a253a7010f528abf5,clicked,1705104910
d3118133336540047cc07627c40215fe,41043c99690411d492b458f7c58de15e,watched,1705104999
4001bdccd34e8fdfd564bd1078d994ca,6e0e010dee526f9d7aab46b2e4682a9f,watched,1705105052
16f88ca54189cd79ecb8cb1c43c36dd4,086b999c965e7d784a7cc7dee3187406,clicked,1705105107
a2288579b87050b04d5e0188a96a54fb,60d966598e7adf8879a741ab986386bb,clicked,1705105147
245f9e670de492e964f2f71e4201b345,4b40d87c36793bbf370868135e1a9907,clicked,1705105193
4d9389046a07a79e6f73941cbfe05406,7cbe8001605e39226a03bd7e715e0f5b,watched,1705105304
